FIRSTNAME,MIDDLENAME,LASTNAME,EMAIL,VOTINGSCOPE
Elaine,F,Navarro,elaine.navarro157@example.com,3rd Year
Brian,C,Gray,brian.gray158@example.com,4th Year
Kevin,Y,Weber,kevin.weber159@example.com,3rd Year
Nicole,X,Rogers,nicole.rogers160@example.com,1st Year
Susan,A,Silva,susan.silva161@example.com,4th Year
Joshua,V,Campbell,joshua.campbell162@example.com,4th Year
Todd,A,Ritter,todd.ritter163@example.com,3rd Year
Thomas,O,Brown,thomas.brown164@example.com,2nd Year
Amanda,L,Oneill,amanda.oneill165@example.com,2nd Year
Amanda,U,Young,amanda.young166@example.com,4th Year
Karen,H,Lopez,karen.lopez167@example.com,1st Year
Thomas,Q,Cervantes,thomas.cervantes168@example.com,4th Year
Kathryn,V,Carter,kathryn.carter169@example.com,4th Year
Steven,V,Giles,steven.giles170@example.com,1st Year
Brandi,A,Lang,brandi.lang171@example.com,1st Year
Anna,S,Griffin,anna.griffin172@example.com,4th Year
Jennifer,F,Walker,jennifer.walker173@example.com,2nd Year
Victor,R,Carter,victor.carter174@example.com,4th Year
Tara,Q,Miller,tara.miller175@example.com,1st Year
Robert,S,Grant,robert.grant176@example.com,1st Year
Dennis,R,Rich,dennis.rich177@example.com,1st Year
Tiffany,Q,Pratt,tiffany.pratt178@example.com,4th Year
Robert,Z,Conner,robert.conner179@example.com,2nd Year
Robert,X,Powers,robert.powers180@example.com,2nd Year
Mary,S,Miles,mary.miles181@example.com,3rd Year
Gene,H,Porter,gene.porter182@example.com,4th Year
Jean,Z,Williams,jean.williams183@example.com,4th Year
Sandra,Z,Marks,sandra.marks184@example.com,1st Year
Ashley,D,Carpenter,ashley.carpenter185@example.com,4th Year
Anna,U,Johnson,anna.johnson186@example.com,1st Year
Andre,X,Dixon,andre.dixon187@example.com,4th Year
Patricia,X,Murray,patricia.murray188@example.com,1st Year
Brad,A,Rush,brad.rush189@example.com,1st Year
William,C,Washington,william.washington190@example.com,4th Year
Lisa,S,Chung,lisa.chung191@example.com,2nd Year
Misty,B,Anderson,misty.anderson192@example.com,3rd Year
Zachary,P,Todd,zachary.todd193@example.com,4th Year
Joseph,Z,Arroyo,joseph.arroyo194@example.com,1st Year
Matthew,A,Bennett,matthew.bennett195@example.com,3rd Year
Christy,A,Jenkins,christy.jenkins196@example.com,2nd Year
Samuel,P,Jones,samuel.jones197@example.com,4th Year
Thomas,X,Burke,thomas.burke198@example.com,4th Year
Rebecca,N,Hodge,rebecca.hodge199@example.com,3rd Year
Sean,K,Jordan,sean.jordan200@example.com,1st Year
Brittney,Q,Calhoun,brittney.calhoun201@example.com,3rd Year
Patrick,I,Howard,patrick.howard202@example.com,4th Year
Ashley,U,Walters,ashley.walters203@example.com,4th Year
Jeffrey,N,Hamilton,jeffrey.hamilton204@example.com,2nd Year
Hunter,K,Hunt,hunter.hunt205@example.com,1st Year
Katie,D,Moreno,katie.moreno206@example.com,2nd Year
Francisco,D,Price,francisco.price207@example.com,3rd Year
Anne,U,Ward,anne.ward208@example.com,3rd Year
Sara,Q,Harris,sara.harris209@example.com,1st Year
Brian,C,Williams,brian.williams210@example.com,3rd Year
Jay,T,Bowen,jay.bowen211@example.com,1st Year
Nicholas,Q,Parrish,nicholas.parrish212@example.com,4th Year
Nicholas,O,Walker,nicholas.walker213@example.com,3rd Year
Sarah,N,Gutierrez,sarah.gutierrez214@example.com,4th Year
Kathryn,C,Davis,kathryn.davis215@example.com,4th Year
Adam,M,Hernandez,adam.hernandez216@example.com,2nd Year
Daniel,I,West,daniel.west217@example.com,4th Year
Linda,X,Short,linda.short218@example.com,2nd Year
Judith,W,Kelley,judith.kelley219@example.com,3rd Year
William,W,Floyd,william.floyd220@example.com,4th Year
Kelsey,P,Lee,kelsey.lee221@example.com,4th Year
Samuel,Z,Reyes,samuel.reyes222@example.com,2nd Year
Joseph,G,Davis,joseph.davis223@example.com,3rd Year
Michael,S,Anderson,michael.anderson224@example.com,4th Year
Adam,M,Carpenter,adam.carpenter225@example.com,2nd Year
Christopher,Y,Bonilla,christopher.bonilla226@example.com,1st Year
Jeffrey,I,Fleming,jeffrey.fleming227@example.com,3rd Year
Meghan,C,Kelly,meghan.kelly228@example.com,4th Year
Joy,H,Douglas,joy.douglas229@example.com,1st Year
Tammy,V,Clark,tammy.clark230@example.com,4th Year
Michael,J,Lee,michael.lee231@example.com,3rd Year
Steven,F,Patrick,steven.patrick232@example.com,4th Year
Jenna,M,Wyatt,jenna.wyatt233@example.com,3rd Year
Christine,Y,Mitchell,christine.mitchell234@example.com,4th Year
Brittney,T,Ali,brittney.ali235@example.com,3rd Year
Martha,Q,Norton,martha.norton236@example.com,4th Year
Steven,K,Ramos,steven.ramos237@example.com,2nd Year
Cameron,Z,Marshall,cameron.marshall238@example.com,4th Year
Allison,H,Jones,allison.jones239@example.com,4th Year
Patrick,S,Boone,patrick.boone240@example.com,1st Year
Robin,E,Thomas,robin.thomas241@example.com,2nd Year
Justin,X,Parker,justin.parker242@example.com,2nd Year
Jacob,M,Lambert,jacob.lambert243@example.com,3rd Year
Ryan,O,Forbes,ryan.forbes244@example.com,3rd Year
Emily,H,Anderson,emily.anderson245@example.com,3rd Year
Karen,B,Jacobs,karen.jacobs246@example.com,4th Year
Robert,N,Patrick,robert.patrick247@example.com,3rd Year
Elizabeth,Y,Williams,elizabeth.williams248@example.com,3rd Year
Kevin,I,Johnson,kevin.johnson249@example.com,4th Year
David,F,Fischer,david.fischer250@example.com,1st Year
Lisa,K,Wilson,lisa.wilson251@example.com,4th Year
Brian,I,Moore,brian.moore252@example.com,1st Year
Ashley,F,Johnson,ashley.johnson253@example.com,3rd Year
Jason,G,Wise,jason.wise254@example.com,1st Year
Christopher,U,Larson,christopher.larson255@example.com,2nd Year
Emma,I,Pineda,emma.pineda256@example.com,4th Year
Shelly,P,Schneider,shelly.schneider257@example.com,2nd Year
Jeanne,J,Shepherd,jeanne.shepherd258@example.com,2nd Year
Shannon,O,Ford,shannon.ford259@example.com,4th Year
Eric,P,Ramsey,eric.ramsey260@example.com,3rd Year
Timothy,S,Graham,timothy.graham261@example.com,2nd Year
Lisa,X,Rice,lisa.rice262@example.com,1st Year
Michelle,X,Young,michelle.young263@example.com,1st Year
Jennifer,E,Jordan,jennifer.jordan264@example.com,1st Year
Thomas,B,Johnson,thomas.johnson265@example.com,2nd Year
Betty,E,Jones,betty.jones266@example.com,4th Year
Jeffrey,S,Williams,jeffrey.williams267@example.com,4th Year
Kimberly,I,Barrera,kimberly.barrera268@example.com,4th Year
Sara,Z,Fritz,sara.fritz269@example.com,2nd Year
Jon,G,Armstrong,jon.armstrong270@example.com,4th Year
Joshua,N,Smith,joshua.smith271@example.com,2nd Year
Norma,P,Knight,norma.knight272@example.com,4th Year
Stephanie,D,Graham,stephanie.graham273@example.com,1st Year
Annette,X,Gomez,annette.gomez274@example.com,4th Year
Michael,C,Duncan,michael.duncan275@example.com,1st Year
John,M,Williams,john.williams276@example.com,4th Year
Mark,B,Clark,mark.clark277@example.com,1st Year
Savannah,F,Charles,savannah.charles278@example.com,4th Year
Jenna,S,Powell,jenna.powell279@example.com,2nd Year
John,L,Foster,john.foster280@example.com,4th Year
Evelyn,Q,Carpenter,evelyn.carpenter281@example.com,3rd Year
Kevin,G,Snyder,kevin.snyder282@example.com,3rd Year
Tamara,P,Davis,tamara.davis283@example.com,4th Year
Dorothy,M,Mitchell,dorothy.mitchell284@example.com,1st Year
John,I,Rodriguez,john.rodriguez285@example.com,2nd Year
Matthew,E,Olson,matthew.olson286@example.com,3rd Year
Julie,D,Parker,julie.parker287@example.com,1st Year
Maxwell,X,Hampton,maxwell.hampton288@example.com,3rd Year
Ann,S,Ellison,ann.ellison289@example.com,1st Year
Jessica,N,Robinson,jessica.robinson290@example.com,1st Year
Veronica,V,Johnson,veronica.johnson291@example.com,1st Year
Randall,B,Martin,randall.martin292@example.com,4th Year
Brittany,K,Campbell,brittany.campbell293@example.com,3rd Year
Kevin,S,Ball,kevin.ball294@example.com,1st Year
Elizabeth,P,Moreno,elizabeth.moreno295@example.com,4th Year
Scott,E,Tanner,scott.tanner296@example.com,4th Year
Michelle,L,Sanford,michelle.sanford297@example.com,1st Year
Jeffrey,T,Roy,jeffrey.roy298@example.com,3rd Year
Kristen,K,Gates,kristen.gates299@example.com,2nd Year
Taylor,C,Ward,taylor.ward300@example.com,2nd Year
Suzanne,V,Davis,suzanne.davis301@example.com,2nd Year
Martha,D,Hooper,martha.hooper302@example.com,3rd Year
Diane,M,Hansen,diane.hansen303@example.com,1st Year
David,E,Gutierrez,david.gutierrez304@example.com,1st Year
Miguel,O,Wolf,miguel.wolf305@example.com,1st Year
Bradley,U,Page,bradley.page306@example.com,1st Year
Valerie,D,Sanders,valerie.sanders307@example.com,2nd Year
Elizabeth,O,Pineda,elizabeth.pineda308@example.com,1st Year
Cathy,A,Vega,cathy.vega309@example.com,3rd Year
Angela,O,Stephens,angela.stephens310@example.com,1st Year
Eric,B,Williams,eric.williams311@example.com,2nd Year
Daniel,K,Ross,daniel.ross312@example.com,3rd Year
Brendan,K,Valdez,brendan.valdez313@example.com,3rd Year
Yvonne,V,Golden,yvonne.golden314@example.com,4th Year
Melissa,Q,Donovan,melissa.donovan315@example.com,3rd Year
Mitchell,N,Randolph,mitchell.randolph316@example.com,1st Year
Kenneth,D,Gilbert,kenneth.gilbert317@example.com,3rd Year
Shawn,U,Fisher,shawn.fisher318@example.com,3rd Year
Robert,F,Stewart,robert.stewart319@example.com,4th Year
Ann,W,Crawford,ann.crawford320@example.com,1st Year
Sean,H,Berry,sean.berry321@example.com,3rd Year
Alexander,G,Steele,alexander.steele322@example.com,3rd Year
Monica,D,Brown,monica.brown323@example.com,3rd Year
Timothy,V,Medina,timothy.medina324@example.com,4th Year
Harold,J,Woodard,harold.woodard325@example.com,1st Year
Ricky,M,Nelson,ricky.nelson326@example.com,2nd Year
Scott,S,Shelton,scott.shelton327@example.com,4th Year
Brandi,U,Alvarez,brandi.alvarez328@example.com,4th Year
Crystal,U,Tucker,crystal.tucker329@example.com,3rd Year
Jennifer,Z,Willis,jennifer.willis330@example.com,4th Year
Amanda,W,Ochoa,amanda.ochoa331@example.com,4th Year
Brad,T,Johnson,brad.johnson332@example.com,2nd Year
Natalie,G,Wilson,natalie.wilson333@example.com,4th Year
Anita,Q,Callahan,anita.callahan334@example.com,1st Year
Juan,J,Rodriguez,juan.rodriguez335@example.com,4th Year
Steve,U,Lawrence,steve.lawrence336@example.com,1st Year
Caroline,T,Ellison,caroline.ellison337@example.com,4th Year
Caleb,I,George,caleb.george338@example.com,1st Year
Julia,D,Aguirre,julia.aguirre339@example.com,1st Year
Sara,E,Eaton,sara.eaton340@example.com,1st Year
Jason,B,Cox,jason.cox341@example.com,3rd Year
Scott,O,Wilcox,scott.wilcox342@example.com,2nd Year
Spencer,O,Gould,spencer.gould343@example.com,3rd Year
Sara,B,Wright,sara.wright344@example.com,3rd Year
Drew,N,Johnson,drew.johnson345@example.com,2nd Year
Tamara,Q,Mendez,tamara.mendez346@example.com,2nd Year
Jessica,F,Davidson,jessica.davidson347@example.com,2nd Year
Bradley,S,Nguyen,bradley.nguyen348@example.com,2nd Year
Cody,D,Torres,cody.torres349@example.com,2nd Year
Scott,Z,Bullock,scott.bullock350@example.com,3rd Year
Madison,L,Anthony,madison.anthony351@example.com,1st Year
Katherine,J,Beasley,katherine.beasley352@example.com,1st Year
Anthony,B,Duarte,anthony.duarte353@example.com,4th Year
Jeffrey,D,Perez,jeffrey.perez354@example.com,3rd Year
Robert,Z,Andrews,robert.andrews355@example.com,1st Year
Kathy,A,Johnson,kathy.johnson356@example.com,3rd Year
Kristina,E,Coleman,kristina.coleman357@example.com,4th Year
Billy,J,Chen,billy.chen358@example.com,4th Year
Erin,J,Weeks,erin.weeks359@example.com,1st Year
Rachel,E,Boyer,rachel.boyer360@example.com,4th Year
Christopher,F,Mcconnell,christopher.mcconnell361@example.com,3rd Year
Aaron,R,Rogers,aaron.rogers362@example.com,3rd Year
Rachel,B,Norris,rachel.norris363@example.com,2nd Year
Christopher,W,Joseph,christopher.joseph364@example.com,4th Year
Gregory,G,Vance,gregory.vance365@example.com,2nd Year
Steven,Z,Mathews,steven.mathews366@example.com,4th Year
Benjamin,V,Perry,benjamin.perry367@example.com,2nd Year
Ashley,K,Mason,ashley.mason368@example.com,4th Year
Alexandra,G,Clayton,alexandra.clayton369@example.com,3rd Year
Sara,T,House,sara.house370@example.com,2nd Year
Stanley,F,Morgan,stanley.morgan371@example.com,3rd Year
Nicole,P,Randolph,nicole.randolph372@example.com,3rd Year
Karen,K,Frank,karen.frank373@example.com,4th Year
Melissa,Z,Walters,melissa.walters374@example.com,3rd Year
Charles,S,West,charles.west375@example.com,1st Year
Heather,U,Christian,heather.christian376@example.com,1st Year
Paul,P,Bass,paul.bass377@example.com,4th Year
Brittany,F,Long,brittany.long378@example.com,1st Year
Jared,J,Moore,jared.moore379@example.com,3rd Year
Paula,V,Anderson,paula.anderson380@example.com,3rd Year
Christopher,W,Walls,christopher.walls381@example.com,1st Year
David,J,Schwartz,david.schwartz382@example.com,2nd Year
Caroline,D,Lopez,caroline.lopez383@example.com,4th Year
Nicholas,F,Kane,nicholas.kane384@example.com,4th Year
Angela,Z,Conley,angela.conley385@example.com,4th Year
Frank,N,Branch,frank.branch386@example.com,1st Year
Robyn,Y,Harris,robyn.harris387@example.com,2nd Year
Stephanie,W,Walker,stephanie.walker388@example.com,1st Year
Jessica,A,Mccoy,jessica.mccoy389@example.com,3rd Year
Brandon,R,Ball,brandon.ball390@example.com,4th Year
Alex,Z,Hall,alex.hall391@example.com,1st Year
Susan,D,Benson,susan.benson392@example.com,1st Year
Shawn,S,Schroeder,shawn.schroeder393@example.com,3rd Year
William,J,Quinn,william.quinn394@example.com,1st Year
Robert,U,Wilkerson,robert.wilkerson395@example.com,4th Year
Rachael,M,Ellis,rachael.ellis396@example.com,2nd Year
Robert,L,Rodriguez,robert.rodriguez397@example.com,3rd Year
Jacob,T,Scott,jacob.scott398@example.com,1st Year
Penny,D,Parks,penny.parks399@example.com,2nd Year
Todd,H,Davila,todd.davila400@example.com,2nd Year
Heather,F,Davis,heather.davis401@example.com,2nd Year
John,X,Williams,john.williams402@example.com,3rd Year
Adam,Y,Long,adam.long403@example.com,2nd Year
Margaret,L,Mcconnell,margaret.mcconnell404@example.com,3rd Year
Jerry,U,Crosby,jerry.crosby405@example.com,2nd Year
Katherine,A,Stevenson,katherine.stevenson406@example.com,2nd Year
Joshua,D,Moody,joshua.moody407@example.com,2nd Year
Stuart,Z,Zimmerman,stuart.zimmerman408@example.com,3rd Year
Brian,R,Hernandez,brian.hernandez409@example.com,2nd Year
David,A,Pearson,david.pearson410@example.com,2nd Year
Alicia,D,Wolfe,alicia.wolfe411@example.com,4th Year
Stephanie,A,Lee,stephanie.lee412@example.com,2nd Year
Lauren,P,Ball,lauren.ball413@example.com,2nd Year
Manuel,H,Duke,manuel.duke414@example.com,4th Year
Benjamin,E,Armstrong,benjamin.armstrong415@example.com,1st Year
Dylan,L,Gay,dylan.gay416@example.com,1st Year
John,E,Tran,john.tran417@example.com,3rd Year
Jacqueline,O,Kennedy,jacqueline.kennedy418@example.com,2nd Year
Brian,H,Dixon,brian.dixon419@example.com,2nd Year
David,B,Brown,david.brown420@example.com,1st Year
Mark,H,Edwards,mark.edwards421@example.com,2nd Year
Ashley,I,Anthony,ashley.anthony422@example.com,2nd Year
Adam,P,Clark,adam.clark423@example.com,2nd Year
Brad,Q,Lin,brad.lin424@example.com,4th Year
Lisa,J,Myers,lisa.myers425@example.com,3rd Year
Brenda,R,Johnson,brenda.johnson426@example.com,4th Year
Robert,E,Ruiz,robert.ruiz427@example.com,1st Year
Michelle,S,Mitchell,michelle.mitchell428@example.com,2nd Year
Rhonda,T,Schneider,rhonda.schneider429@example.com,1st Year
Marcus,I,Ross,marcus.ross430@example.com,3rd Year
Ashley,Y,Mills,ashley.mills431@example.com,4th Year
Whitney,R,Moore,whitney.moore432@example.com,2nd Year
Timothy,L,Hammond,timothy.hammond433@example.com,4th Year
Nicole,N,Sparks,nicole.sparks434@example.com,1st Year
Joshua,S,Harper,joshua.harper435@example.com,2nd Year
Alexis,K,Woods,alexis.woods436@example.com,3rd Year
Sandra,G,Wallace,sandra.wallace437@example.com,2nd Year
Linda,X,Evans,linda.evans438@example.com,2nd Year
Anthony,P,Fitzpatrick,anthony.fitzpatrick439@example.com,1st Year
Melissa,Z,Alvarado,melissa.alvarado440@example.com,4th Year
Laura,I,Hall,laura.hall441@example.com,4th Year
Joseph,L,Jackson,joseph.jackson442@example.com,2nd Year
Kristen,D,Rodriguez,kristen.rodriguez443@example.com,3rd Year
Ian,H,Hamilton,ian.hamilton444@example.com,3rd Year
Brandon,N,Hughes,brandon.hughes445@example.com,3rd Year
Jasmine,I,Johnson,jasmine.johnson446@example.com,4th Year
Ashlee,G,Parrish,ashlee.parrish447@example.com,4th Year
George,V,Dunn,george.dunn448@example.com,4th Year
Tiffany,V,Kennedy,tiffany.kennedy449@example.com,1st Year
Heather,X,Curry,heather.curry450@example.com,4th Year
John,O,Patel,john.patel451@example.com,1st Year
Dawn,N,Martinez,dawn.martinez452@example.com,2nd Year
Joshua,Q,Ruiz,joshua.ruiz453@example.com,2nd Year
Patricia,J,Townsend,patricia.townsend454@example.com,2nd Year
April,B,Conley,april.conley455@example.com,3rd Year
Tammie,R,Hall,tammie.hall456@example.com,2nd Year
Tommy,Q,Arroyo,tommy.arroyo457@example.com,2nd Year
Desiree,P,Jenkins,desiree.jenkins458@example.com,2nd Year
Michelle,H,Lewis,michelle.lewis459@example.com,4th Year
Krystal,S,Humphrey,krystal.humphrey460@example.com,1st Year
Joshua,B,Madden,joshua.madden461@example.com,4th Year
Megan,J,Hinton,megan.hinton462@example.com,2nd Year
Nicholas,G,Jefferson,nicholas.jefferson463@example.com,1st Year
Lisa,M,Burke,lisa.burke464@example.com,3rd Year
Holly,W,Bates,holly.bates465@example.com,2nd Year
Robin,Y,Davenport,robin.davenport466@example.com,3rd Year
Abigail,Y,Howard,abigail.howard467@example.com,4th Year
Angela,G,Torres,angela.torres468@example.com,3rd Year
Shawn,E,Lane,shawn.lane469@example.com,3rd Year
Richard,P,Farrell,richard.farrell470@example.com,4th Year
Ashley,C,Hawkins,ashley.hawkins471@example.com,3rd Year
Brittany,O,Solomon,brittany.solomon472@example.com,4th Year
Linda,S,West,linda.west473@example.com,4th Year
Morgan,W,Morrison,morgan.morrison474@example.com,3rd Year
David,U,Mann,david.mann475@example.com,2nd Year
